8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.370000	2.619211	1.889989	3.106910	0.787844
0.372000	0.933006	1.839393	-2.162481	0.634526
0.374000	1.753322	1.783739	0.401006	0.465875
0.376000	0.791223	1.601597	-2.605553	-0.086071
0.378000	1.864723	1.338502	0.749134	-0.883326
0.380000	2.421728	1.510525	2.489774	-0.362044
0.382000	1.520393	1.965881	-0.326898	1.017822
0.384000	1.555839	1.763501	-0.216130	0.404548
0.386000	1.211508	1.768560	-1.292161	0.419880
0.388000	1.586221	1.444752	-0.121186	-0.561358
0.390000	2.006506	1.267669	1.192206	-1.097972
0.392000	2.310327	1.970941	2.141646	1.033153
0.394000	1.084916	1.809036	-1.687761	0.542535
0.396000	1.738131	1.849512	0.353534	0.665189
0.398000	0.846923	1.540883	-2.431489	-0.270053
0.400000	2.026761	1.298026	1.255502	-1.005981
0.402000	2.482492	1.702787	2.679662	0.220566
0.404000	1.170999	1.905167	-1.418753	0.833839
0.406000	1.550775	1.758441	-0.231954	0.389216
0.408000	1.029216	1.758441	-1.861825	0.389216
0.410000	1.657112	1.363800	0.100350	-0.806667
0.412000	2.036888	1.373919	1.287150	-0.776004
0.414000	2.052079	1.960822	1.334622	1.002490
0.416000	1.338100	1.773620	-0.896561	0.435212
0.418000	1.707749	1.920346	0.258590	0.879835
0.420000	0.831732	1.439692	-2.478961	-0.576690
0.422000	2.249563	1.313205	1.951758	-0.959986
0.424000	2.325518	1.834334	2.189118	0.619194
0.426000	1.120362	1.829274	-1.576993	0.603862
0.428000	1.490011	1.819155	-0.421842	0.573198
0.430000	0.624122	1.662311	-3.127745	0.097911
0.432000	2.041952	1.313205	1.302974	-0.959986
0.434000	1.925487	1.480168	0.939022	-0.454035
0.436000	1.955869	1.915286	1.033966	0.864503
0.438000	1.388737	1.758441	-0.738321	0.389216
0.440000	1.601412	1.945643	-0.073714	0.956494
0.442000	1.165935	1.343562	-1.434577	-0.867995
0.444000	2.036888	1.363800	1.287150	-0.806667
0.446000	2.229308	1.895048	1.888462	0.803176
0.448000	1.084916	1.768560	-1.687761	0.419880
0.450000	1.692558	1.925405	0.211118	0.895167
0.452000	0.264600	1.530764	-4.251249	-0.300717
0.454000	2.305263	1.323324	2.125822	-0.929322
0.456000	2.082461	1.611716	1.429566	-0.055407
0.458000	1.788768	1.864691	0.511774	0.711185
0.460000	1.763449	1.809036	0.432654	0.542535
0.462000	1.145681	1.900108	-1.497873	0.818508
0.464000	2.016633	1.303086	1.223854	-0.990649
0.466000	1.829277	1.419454	0.638366	-0.638017
0.468000	2.214117	1.889989	1.840990	0.787844
0.470000	1.115298	1.753382	-1.592817	0.373884
0.472000	1.768513	2.001298	0.448478	1.125144
0.474000	0.543103	1.389097	-3.380929	-0.730008
0.476000	2.198926	1.389097	1.793518	-0.730008
