StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:20.698	-0.0160	-0.0233	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4526	-1815
0x50	 14:02:20.699	-0.0160	-0.0233	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4526	-1815
0x50	 14:02:20.699	-0.0166	-0.0227	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4525	-1814
0x50	 14:02:20.699	-0.0166	-0.0227	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4525	-1816
0x50	 14:02:20.705	-0.0149	-0.0225	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1817
0x50	 14:02:20.705	-0.0149	-0.0225	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1817
0x50	 14:02:20.705	-0.0146	-0.0232	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4524	-1817
0x50	 14:02:20.734	-0.0146	-0.0232	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4524	-1818
0x50	 14:02:20.743	-0.0156	-0.0240	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4524	-1817
0x50	 14:02:20.743	-0.0156	-0.0240	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4524	-1817
0x50	 14:02:20.757	-0.0159	-0.0239	1.0010	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.32	4.07	304	4524	-1817
0x50	 14:02:20.826	-0.0159	-0.0239	1.0010	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.32	4.07	304	4524	-1818
0x50	 14:02:20.826	-0.0165	-0.0227	1.0007	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4524	-1819
0x50	 14:02:20.826	-0.0165	-0.0227	1.0007	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4523	-1819
0x50	 14:02:20.826	-0.0165	-0.0221	1.0011	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4523	-1820
0x50	 14:02:20.826	-0.0165	-0.0221	1.0011	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4524	-1820
0x50	 14:02:20.826	-0.0156	-0.0232	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4524	-1820
0x50	 14:02:20.829	-0.0156	-0.0232	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1819
0x50	 14:02:20.832	-0.0150	-0.0238	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1818
